Re,n_hidden_layers,neurons_per_layer,activation,noise_level,E_U_relL2,E_V_relL2,E_W_relL2,E_comb_relL2,"dU_dz(r=1,z=0)","dV_dz(r=1,z=0)","W(r=1,z=L)",Rel_dUdz,Rel_dVdz,Rel_W
196,4,64,tanh,0.0,0.05138838663697243,0.0021506985649466515,0.06069615110754967,0.005736534018069506,7.0984206199646,-8.546932220458984,-0.0630970373749733,0.006271594607949895,0.008807704565181929,0.0011997316668098125
196,4,64,tanh,0.0,0.09761621803045273,0.003131207311525941,0.024933619424700737,0.008098270744085312,7.044287204742432,-8.474499702453613,-0.06240455061197281,0.013849887761761197,0.017207742372198968,0.00978838425975353
196,4,64,tanh,0.0,0.008886541239917278,0.00046452059177681804,0.004660757724195719,0.0008587099728174508,7.139847278594971,-8.600992202758789,-0.06288501620292664,0.00047215701112786053,0.0025383395386705206,0.002164539452597713
391,4,64,tanh,0.0,0.8841671943664551,0.02077234722673893,0.22123004496097565,0.075249582529068,7.146938323974609,-12.060956001281738,-0.037108760327100754,0.2916210206252374,0.009694826606586196,0.16833476846934742
391,4,64,tanh,0.0,0.015330641530454159,0.00036183156771585345,0.004776426590979099,0.0013108629500493407,10.07943344116211,-12.13074779510498,-0.044621530920267105,0.0009625870458774605,0.003964337707014865,3.814508873065522e-05
471,4,64,tanh,0.0,0.039430029690265656,0.0009346949518658221,0.006547343451529741,0.0033417956437915564,11.017565727233887,-13.334877967834473,-0.04079077020287514,0.0050317869797037095,0.0024049501347414436,0.003358374827222404
555.0,4,64,tanh,0.0,0.0330006368458271,0.000669314875267446,0.007855815812945366,0.0027740856166929007,12.001988410949707,-14.482892990112305,-0.037423111498355865,0.001516893718875928,0.0018759419415034545,0.0007593208580228928
568,4,64,tanh,0.0,0.011746310628950596,0.0003288853040430695,0.008465681225061417,0.0010516836773604155,12.154679298400879,-14.645647048950195,-0.03715917840600014,0.0004527092396861725,0.0022767580471553905,0.0037463794008703068
615,4,64,tanh,0.0,0.054317407310009,0.0008858793880790472,0.008346308022737503,0.0045045847073197365,12.601593017578125,-15.208666801452637,-0.035747092217206955,0.0040858535320717525,0.004298226296077021,0.004759218199954488
648,4,64,tanh,0.0,0.02263382263481617,0.0005750258569605649,0.004862948786467314,0.0019309056224301457,12.991604804992676,-15.626301765441895,-0.03470947965979576,0.00025172265514850024,0.003346038517693323,0.001427069931239483
713,4,64,tanh,0.0,0.018802283331751823,0.0006315117934718728,0.010158926248550415,0.0016816342249512672,13.609992980957031,-16.411699295043945,-0.033047571778297424,0.0010421912791377483,0.0021058436377593237,0.00015668069488234196
752,4,64,tanh,0.0,0.22655268013477325,0.0075929597951471806,0.011409207247197628,0.01988607831299305,13.692054748535156,-16.748342514038086,-0.0327780582010746,0.021425901317157166,0.008395230543742905,0.018769332419405083
259,4,64,tanh,0.0,0.015059324912726879,0.0003494531847536564,0.003799924161285162,0.0012852909276261926,8.19493293762207,-9.90837574005127,-0.054852671921253204,0.0020023201603683273,0.00039532487212217576,0.0005329373578909868
752,4,64,tanh,0.0,0.017452843487262726,0.00044222938595339656,0.0030427132733166218,0.0014864274999126792,13.957267761230469,-16.85186767578125,-0.03218191862106323,0.002471070240028829,0.0022659049667666793,0.00024081806290012793
